memberId,transactionDate,credit,debit,description,transactionType,referenceId,paymentMethod
MEM-2026-0001,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0001,cash
MEM-2026-0002,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0002,cash
MEM-2026-0003,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0003,cash
MEM-2026-0004,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0004,cash
MEM-2026-0005,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0005,cash
MEM-2026-0006,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0006,cash
MEM-2026-0007,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0007,cash
MEM-2026-0008,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0008,cash
MEM-2026-0009,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0009,cash
MEM-2026-0010,2026-09-16,1000,0,Initial contribution,contribution,OR-2026-0010,cash
