memberId,transactionDate,credit,debit,description,transactionType,referenceId,paymentMethod
MEM-2026-0011,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0011,cash
MEM-2026-0012,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0012,cash
MEM-2026-0013,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0013,cash
MEM-2026-0014,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0014,cash
MEM-2026-0015,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0015,cash
MEM-2026-0016,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0016,cash
MEM-2026-0017,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0017,cash
MEM-2026-0018,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0018,cash
MEM-2026-0019,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0019,cash
MEM-2026-0020,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0020,cash
MEM-2026-0021,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0021,cash
MEM-2026-0022,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0022,cash
MEM-2026-0023,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0023,cash
MEM-2026-0024,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0024,cash
MEM-2026-0025,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0025,cash
MEM-2026-0026,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0026,cash
MEM-2026-0027,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0027,cash
MEM-2026-0028,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0028,cash
MEM-2026-0029,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0029,cash
MEM-2026-0030,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0030,cash
MEM-2026-0031,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0031,cash
MEM-2026-0032,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0032,cash
MEM-2026-0033,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0033,cash
MEM-2026-0034,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0034,cash
MEM-2026-0035,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0035,cash
MEM-2026-0036,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0036,cash
MEM-2026-0037,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0037,cash
MEM-2026-0038,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0038,cash
MEM-2026-0039,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0039,cash
MEM-2026-0040,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0040,cash
MEM-2026-0041,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0041,cash
MEM-2026-0042,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0042,cash
MEM-2026-0043,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0043,cash
MEM-2026-0044,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0044,cash
MEM-2026-0045,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0045,cash
MEM-2026-0046,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0046,cash
MEM-2026-0047,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0047,cash
MEM-2026-0048,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0048,cash
MEM-2026-0049,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0049,cash
MEM-2026-0050,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0050,cash
MEM-2026-0051,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0051,cash
MEM-2026-0052,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0052,cash
MEM-2026-0053,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0053,cash
MEM-2026-0054,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0054,cash
MEM-2026-0055,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0055,cash
MEM-2026-0056,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0056,cash
MEM-2026-0057,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0057,cash
MEM-2026-0058,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0058,cash
MEM-2026-0059,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0059,cash
MEM-2026-0060,2026-09-17,1000,0,Initial contribution,contribution,OR-2026-0060,cash
